starter_sentence|temperature|score|iter|text
a man|None|0|0|a man walks into a bar and asks for a drink . the bartender says , i don't know what i said .
a man|None|0|1|a man walks into a bar and says , i have a drink in the bar .
a man|None|0|2|a man walks into a bar and says to the bartender , hey , what do you do ? the bartender says , well , i don't know , but i don't know what i was doing .
a man|None|0|3|a man walks into a bar and asks for a drink . the bartender says , i don't know what to do . the bartender says , i don't know , but i don't know what to do .
a man|None|0|4|a man walks into a bar and he orders a beer . the bartender says , i don't know what i said .
a man|None|1|0|a man walks into a bar and asks for a drink . the bartender says , i don't know what i was doing .
a man|None|1|1|a man walks into a bar and orders a beer . the bartender says , i don't know , i just got a little bit of a little boy .
a man|None|1|2|a man walks into a bar and asks for a drink . the bartender says , i have a problem with my hands . i don't know , but i don't have any money .
a man|None|1|3|a man walks into a bar and asks for a drink . the bartender says , i don't know , i just got a little bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit of a bit . he says , i don't know , i just got a million bucks . the bartender says , i don't know , but i don't know what i was doing .
a man|None|1|4|a man walks into a bar and says , i have a drink .
a man|None|5|0|a man walks into a bar and orders a beer . the bartender says , i have a problem with your hands . the man says , i don't know , but i have a problem with my hands . the bartender says , i don't know , but i have a problem with my hands . the bartender says , i don't know , but i have a problem with my hands . the bartender says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man says , i don't know , but i have no idea . the man
a man|None|5|1|a man walks into a bar and says , i have a problem with my wife .
a man|None|5|2|a man walks into a bar and orders a beer . the bartender says , i don't know what i said .
a man|None|5|3|a man walks into a bar and orders a beer . the bartender says , hey , what's you have a drink ? the man replies , well , i don't know , i just got a million bucks .
a man|None|5|4|a man walks into a bar and orders a beer . the bartender says , i have a beer for the first time . the bartender says , i don't know what it was .
a man|None|10|0|a man walks into a bar and orders a beer . the bartender says , i have a problem with my wife . i don't know , i just got a million dollars .
a man|None|10|1|a man walks into a bar and orders a beer . the bartender says , hey , i have a problem with my wife . i don't have a lot of money .
a man|None|10|2|a man walks into a bar and orders a beer . the bartender says , hey , what's a good idea , i don't have a beer . the man says , i don't know , i just got a million bucks . the man says , i don't know , i just got a million bucks . the man says , i don't know , i just got a million dollars . the man says , i don't know , i just got a million dollars . the man says , i don't know , i don't know what the hell is .
a man|None|10|3|a man walks into a bar and orders a beer . the bartender says , hey , i have a lot of money money , i don't have a lot of money . i don't grant you . the man replies , i don't know , i don't know , i am going to tell you about that .
a man|None|10|4|a man walks into a bar and orders a beer . the bartender says , hey , what's got a drink of this bar . the bartender says , i don't have a beer .
a man|None|20|0|a man downstairs into the the 'what the the the the the the the the the the the the the the the the the the the the the pulls off the the politely , the 'i continued to the johnny's
a man|None|20|1|a man seated in the morning , the 'what continued to the birth , the 'what continued to the birth superior hesitation , the 'i continued to the birth superior hesitation , the 'i continued to the yourself . 'oh
a man|None|20|2|a man seated in the johnny's 'what
a man|None|20|3|a man seated in a young man rushes into the same question about attention , and the other side forward forward . hysterically , the other side forward . tears the morning , the officer nods up the other aback . hysterically , the other side forward . tears the morning , the officer nods up the difference between the difference between the puzzled puzzled and hysterically . hesitation , the 'i continued to the yourself . 'oh
a man|None|20|4|a man downstairs into the the 'what 'what
a man|0.2|0|0|a man walks into a bar and says to the bartender , i don't know what you are doing .
a man|0.2|0|1|a man walks into a bar and says to the bartender , i want to be a problem with a smile . the bartender says , i'm not a joke .
a man|0.2|0|2|a man walks into a bar and says , i don't know what he wants .
a man|0.2|0|3|a man walks into a bar ouch
a man|0.2|0|4|a man walks into a bar and asks for a drink . the bartender says , hey , what is your first wish ? the man replies , i don't know , but i don't know what i was doing .
a man|0.2|1|0|a man walks into a bar and says , i have a problem with a smile .
a man|0.2|1|1|a man walks into a bar and the bartender says , hey , what's got a drink of beer . the bartender says , well , i don't want to get a drink . the man says , i don't know what it is .
a man|0.2|1|2|a man walks into a bar and orders a beer . the bartender says , i don't know what i said .
a man|0.2|1|3|a man walks into a bar and orders a beer . the bartender says , i don't have a drink .
a man|0.2|1|4|a man walks into a bar and says to the bartender , hey , do you have a drink ? the bartender replies , well , i don't have a few of my life .
a man|0.2|5|0|a man walks into a bar and orders a beer . the bartender says , hey , what's got a drink of beer . the man says , no , i don't know , i just got a million bucks .
a man|0.2|5|1|a man walks into a bar and orders a beer . the bartender says , i don't know , i just got a million dollars . the man says , i don't know , i don't have a lot of time .
