starter_sentence|score|variation|temperature|iter|text
a sexy|0|1.0|None|0|a sexy girl walks into a bar she says .
a sexy|0|1.0|None|1|a sexy girl walks into a bar and says , i have a lot of time .
a sexy|0|1.0|None|2|a sexy girl walks into a bar and says , i don't know what i said .
a sexy|0|1.0|None|3|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|4|a sexy girl is in a bar . the bartender says , i don't know what i said .
a sexy|0|1.0|None|5|a sexy girl is in a bar . the bartender says , i don't know what i was doing .
a sexy|0|1.0|None|6|a sexy girl walks into a bar and says , i have a drink .
a sexy|0|1.0|None|7|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|8|a sexy girl walks into a bar and says , i don't know what i said .
a sexy|0|1.0|None|9|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|10|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|11|a sexy girl walks into a bar and says to the bartender , i don't know what the hell is ?
a sexy|0|1.0|None|12|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|13|a sexy girl walks into a bar and says , i don't know what to do .
a sexy|0|1.0|None|14|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|15|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|16|a sexy girl is in a bar and the bartender says to the bartender , i don't know what i said .
a sexy|0|1.0|None|17|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|18|a sexy girl walks into a bar and says , i don't know what i said .
a sexy|0|1.0|None|19|a sexy girl walks into a bar and says to the bartender , i have a drink , and the bartender says , i don't know , i just got a little girl .
a sexy|0|1.0|None|20|a sexy girl walks into a bar and says , i don't know what i said .
a sexy|0|1.0|None|21|a sexy girl walks into a bar and says , i don't know what it is .
a sexy|0|1.0|None|22|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|23|a sexy girl walks into a bar and says , i don't know what it was .
a sexy|0|1.0|None|24|a sexy girl walks into a bar and says , i don't know what i said .
a sexy|0|1.0|None|25|a sexy girl is walking down the street when she sees a woman sitting there . the woman asks the man why do you want to buy a ticket ? the woman replies , i don't know , i just can't have a baby .
a sexy|0|1.0|None|26|a sexy girl is in a bar . the man says , i don't know what i said .
a sexy|0|1.0|None|27|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|28|a sexy girl walks into a bar and says , i don't know what i said .
a sexy|0|1.0|None|29|a sexy girl walks into a bar and says , i don't know what i said .
a sexy|0|1.0|None|30|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|1.0|None|31|a sexy girl walks into a bar and says to the bartender , i don't know what i said .
a sexy|0|2.0|None|0|a sexy girl walks into a bar and says , i have a beer in the bar . the bartender says , i don't know what i said .
a sexy|0|2.0|None|1|a sexy girl is walking down the street and the girl is walking down the street . the girl asks her what happened . the girl says , i am going to the kitchen and ask for a million dollars . the girl says , i don't know what the hell is that ? the girl replies , i don't know what the hell is that ?
a sexy|0|2.0|None|2|a sexy woman walks into a bar and says , i have a lot of a little bit .
a sexy|0|2.0|None|3|a sexy girl is in the middle of the road . the man is in the middle of the road .
a sexy|0|2.0|None|4|a sexy girl walks into a bar and says , bartender , i have a good news . the woman says , i don't know , but i just got a little girl .
a sexy|0|2.0|None|5|a sexy girl walks into a bar and says , i don't know what it is .
a sexy|0|2.0|None|6|a sexy girl walks into a bar and says , i don't know what the hell is .
